"","penalty_fn","replicate","Assumption","variable","value"
"371","L1","rep_71","Reed","profits",148.187294460833
"372","L1","rep_72","Reed","profits",195.417223868329
"373","L1","rep_73","Reed","profits",232.575165746178
"374","L1","rep_74","Reed","profits",143.363020859481
"375","L1","rep_75","Reed","profits",227.622051309078
"376","L1","rep_76","Reed","profits",147.173406345451
"377","L1","rep_77","Reed","profits",233.674152776869
"378","L1","rep_78","Reed","profits",141.343009773509
"379","L1","rep_79","Reed","profits",155.733784640534
"380","L1","rep_80","Reed","profits",159.938098987338
"381","L1","rep_81","Reed","profits",150.172152675284
"382","L1","rep_82","Reed","profits",170.93526994403
"383","L1","rep_83","Reed","profits",211.429482184367
"384","L1","rep_84","Reed","profits",163.417646070865
"385","L1","rep_85","Reed","profits",79.7343497961134
"386","L1","rep_86","Reed","profits",200.29940290138
"387","L1","rep_87","Reed","profits",148.667119725222
"388","L1","rep_88","Reed","profits",203.707694769337
"389","L1","rep_89","Reed","profits",183.899884837151
"390","L1","rep_90","Reed","profits",251.059099987121
"391","L1","rep_91","Reed","profits",196.143964303186
"392","L1","rep_92","Reed","profits",143.551367072438
"393","L1","rep_93","Reed","profits",270.277513296971
"394","L1","rep_94","Reed","profits",142.097640816582
"395","L1","rep_95","Reed","profits",171.517485028901
"396","L1","rep_96","Reed","profits",202.414564462516
"397","L1","rep_97","Reed","profits",193.919632902664
"398","L1","rep_98","Reed","profits",168.0675620116
"399","L1","rep_99","Reed","profits",116.472525504342
"400","L1","rep_100","Reed","profits",187.169682075685
"401","L2","rep_1","Reed","profits",210.04745581449
"402","L2","rep_2","Reed","profits",217.334658697718
"403","L2","rep_3","Reed","profits",133.849973257102
"404","L2","rep_4","Reed","profits",249.013399112463
"405","L2","rep_5","Reed","profits",148.779362960726
"406","L2","rep_6","Reed","profits",206.987689638192
"407","L2","rep_7","Reed","profits",255.681948021522
"408","L2","rep_8","Reed","profits",139.98956197566
"409","L2","rep_9","Reed","profits",163.456802784985
"410","L2","rep_10","Reed","profits",159.495668786279
"411","L2","rep_11","Reed","profits",133.920449341723
