"","penalty_fn","reps","variable","value","penalty_fraction","statistic","timeseries"
"330","fixed",10,"stock.variance",5.63914882343807,0.0526315789473684,"variance","harvest"
"331","L1",11,"stock.variance",4.10748233486959,0.0526315789473684,"variance","harvest"
"332","L2",11,"stock.variance",5.51969078122806,0.0526315789473684,"variance","harvest"
"333","fixed",11,"stock.variance",5.35439648755671,0.0526315789473684,"variance","harvest"
"334","L1",12,"stock.variance",4.60478923080082,0.0526315789473684,"variance","harvest"
"335","L2",12,"stock.variance",4.53339845944055,0.0526315789473684,"variance","harvest"
"336","fixed",12,"stock.variance",4.99727481359857,0.0526315789473684,"variance","harvest"
"337","L1",13,"stock.variance",4.80283228803685,0.0526315789473684,"variance","harvest"
"338","L2",13,"stock.variance",5.35737905228495,0.0526315789473684,"variance","harvest"
"339","fixed",13,"stock.variance",4.08493785892265,0.0526315789473684,"variance","harvest"
"340","L1",14,"stock.variance",3.96075020950988,0.0526315789473684,"variance","harvest"
"341","L2",14,"stock.variance",5.06873447791018,0.0526315789473684,"variance","harvest"
"342","fixed",14,"stock.variance",6.93642558404232,0.0526315789473684,"variance","harvest"
"343","L1",15,"stock.variance",5.42741682480617,0.0526315789473684,"variance","harvest"
"344","L2",15,"stock.variance",6.33691926181468,0.0526315789473684,"variance","harvest"
"345","fixed",15,"stock.variance",4.32701701145559,0.0526315789473684,"variance","harvest"
"346","L1",16,"stock.variance",8.00134477687153,0.0526315789473684,"variance","harvest"
"347","L2",16,"stock.variance",6.14771984395273,0.0526315789473684,"variance","harvest"
"348","fixed",16,"stock.variance",4.19503509332204,0.0526315789473684,"variance","harvest"
"349","L1",17,"stock.variance",4.7228441576109,0.0526315789473684,"variance","harvest"
"350","L2",17,"stock.variance",3.70576737319662,0.0526315789473684,"variance","harvest"
"351","fixed",17,"stock.variance",6.98522669261964,0.0526315789473684,"variance","harvest"
"352","L1",18,"stock.variance",4.67111389731939,0.0526315789473684,"variance","harvest"
"353","L2",18,"stock.variance",4.01504151551287,0.0526315789473684,"variance","harvest"
"354","fixed",18,"stock.variance",4.38137585805396,0.0526315789473684,"variance","harvest"
"355","L1",19,"stock.variance",5.35120161458764,0.0526315789473684,"variance","harvest"
"356","L2",19,"stock.variance",6.36833149805602,0.0526315789473684,"variance","harvest"
"357","fixed",19,"stock.variance",4.96359351841246,0.0526315789473684,"variance","harvest"
"358","L1",20,"stock.variance",6.32718309360039,0.0526315789473684,"variance","harvest"
