"","time","penalty_fn","replicate","variable","value","baseline"
"1562",2,"L2","rep_19","harvest",1.15142857142857,"penalty"
"1563",3,"L2","rep_19","harvest",1.31448979591837,"penalty"
"1564",4,"L2","rep_19","harvest",0.82530612244898,"penalty"
"1565",5,"L2","rep_19","harvest",0.499183673469388,"penalty"
"1566",6,"L2","rep_19","harvest",1.31448979591837,"penalty"
"1567",7,"L2","rep_19","harvest",1.15142857142857,"penalty"
"1568",8,"L2","rep_19","harvest",1.64061224489796,"penalty"
"1569",9,"L2","rep_19","harvest",0.82530612244898,"penalty"
"1570",10,"L2","rep_19","harvest",0.662244897959184,"penalty"
"1571",11,"L2","rep_19","harvest",0.82530612244898,"penalty"
"1572",12,"L2","rep_19","harvest",1.15142857142857,"penalty"
"1573",13,"L2","rep_19","harvest",1.64061224489796,"penalty"
"1574",14,"L2","rep_19","harvest",1.80367346938776,"penalty"
"1575",15,"L2","rep_19","harvest",1.31448979591837,"penalty"
"1576",16,"L2","rep_19","harvest",1.64061224489796,"penalty"
"1577",17,"L2","rep_19","harvest",1.64061224489796,"penalty"
"1578",18,"L2","rep_19","harvest",1.47755102040816,"penalty"
"1579",19,"L2","rep_19","harvest",3.59734693877551,"penalty"
"1580",20,"L2","rep_19","harvest",0,"penalty"
"1581",1,"L2","rep_20","harvest",2.12979591836735,"penalty"
"1582",2,"L2","rep_20","harvest",3.10816326530612,"penalty"
"1583",3,"L2","rep_20","harvest",1.64061224489796,"penalty"
"1584",4,"L2","rep_20","harvest",2.45591836734694,"penalty"
"1585",5,"L2","rep_20","harvest",0.82530612244898,"penalty"
"1586",6,"L2","rep_20","harvest",0.499183673469388,"penalty"
"1587",7,"L2","rep_20","harvest",1.15142857142857,"penalty"
"1588",8,"L2","rep_20","harvest",0.01,"penalty"
"1589",9,"L2","rep_20","harvest",0.01,"penalty"
"1590",10,"L2","rep_20","harvest",0.01,"penalty"
"1591",11,"L2","rep_20","harvest",0.01,"penalty"
"1592",12,"L2","rep_20","harvest",0.499183673469388,"penalty"
"1593",13,"L2","rep_20","harvest",0.82530612244898,"penalty"
"1594",14,"L2","rep_20","harvest",0.662244897959184,"penalty"
"1595",15,"L2","rep_20","harvest",1.64061224489796,"penalty"
"1596",16,"L2","rep_20","harvest",0.662244897959184,"penalty"
"1597",17,"L2","rep_20","harvest",0.82530612244898,"penalty"
"1598",18,"L2","rep_20","harvest",1.96673469387755,"penalty"
"1599",19,"L2","rep_20","harvest",3.76040816326531,"penalty"
